2024-06-10 at 19:05:14 | INFO | gpuid: 0, args: Namespace(exp_name='resnet18_baseline', video_path='../dataset/dataset0420', dataset='dataset0420', n_classes=7, aug_type=0, pretrain_path=None, sample_size=224, sample_duration=5, sample_t_stride=1, train_crop='random', value_scale=1, train_crop_min_scale=0.25, train_crop_min_ratio=0.75, no_hflip=False, colorjitter=False, train_t_crop='random', backbone='resnet18', nepoch=300, weight_decay=4e-05, lr=0.001, min_lr=0.0001, warmup_epoch=10, batch_size=16)
2024-06-10 at 19:13:26 | INFO | e:7,10/70 0.78 mb/s passed:14.19 eta:76.13 lr:0.00073 acc:0.625 loss:1.162543
2024-06-10 at 19:13:27 | INFO | e:7,15/70 1.1 mb/s passed:14.84 eta:50.07 lr:0.00073 acc:0.500 loss:1.106416
2024-06-10 at 19:13:37 | INFO | e:7,20/70 0.85 mb/s passed:24.70 eta:57.62 lr:0.00073 acc:0.688 loss:0.626545
2024-06-10 at 19:13:37 | INFO | e:7,25/70 1 mb/s passed:25.35 eta:42.90 lr:0.00073 acc:0.562 loss:1.606791
2024-06-10 at 19:13:38 | INFO | e:7,30/70 1.2 mb/s passed:25.98 eta:32.68 lr:0.00073 acc:0.438 loss:1.284262
2024-06-10 at 19:13:48 | INFO | e:7,35/70 1 mb/s passed:35.73 eta:33.74 lr:0.00073 acc:0.375 loss:1.386915
2024-06-10 at 19:13:48 | INFO | e:7,40/70 1.1 mb/s passed:36.36 eta:25.72 lr:0.00073 acc:0.562 loss:1.382728
2024-06-10 at 19:13:49 | INFO | e:7,45/70 1.2 mb/s passed:37.04 eta:19.32 lr:0.00073 acc:0.562 loss:1.091102
2024-06-10 at 19:13:59 | INFO | e:7,50/70 1.1 mb/s passed:46.51 eta:17.33 lr:0.00073 acc:0.750 loss:0.680704
2024-06-10 at 19:13:59 | INFO | e:7,55/70 1.2 mb/s passed:47.06 eta:11.77 lr:0.00073 acc:0.438 loss:1.327000
2024-06-10 at 19:14:00 | INFO | e:7,60/70 1.3 mb/s passed:47.61 eta:7.02 lr:0.00073 acc:0.688 loss:0.930699
2024-06-10 at 19:14:07 | INFO | e:7,65/70 1.2 mb/s passed:55.28 eta:3.35 lr:0.00073 acc:0.312 loss:1.500592
2024-06-10 at 19:14:08 | INFO | Epoch: 7, Train Loss: 1.1328659884893175, Accuracy: 0.5976597659765976
2024-06-10 at 19:14:21 | INFO | Epoch: 7, Test Loss: 1.2650782839726593, Accuracy: 0.5932203389830508
2024-06-10 at 19:14:21 | INFO | train: epoch 8
2024-06-10 at 19:14:34 | INFO | e:8,0/70 0.077 mb/s passed:13.07 eta:901.64 lr:0.00082 acc:0.375 loss:1.489621
2024-06-10 at 19:14:34 | INFO | e:8,5/70 0.44 mb/s passed:13.72 eta:146.34 lr:0.00082 acc:0.625 loss:1.093240
2024-06-10 at 19:14:35 | INFO | e:8,10/70 0.77 mb/s passed:14.31 eta:76.76 lr:0.00082 acc:0.625 loss:1.384812
2024-06-10 at 19:14:36 | INFO | e:8,15/70 1.1 mb/s passed:14.92 eta:50.37 lr:0.00082 acc:0.625 loss:1.081483
2024-06-10 at 19:14:45 | INFO | e:8,20/70 0.85 mb/s passed:24.67 eta:57.55 lr:0.00082 acc:0.750 loss:0.988431
2024-06-10 at 19:14:46 | INFO | e:8,25/70 1 mb/s passed:25.33 eta:42.87 lr:0.00082 acc:0.875 loss:0.805716
2024-06-10 at 19:14:47 | INFO | e:8,30/70 1.2 mb/s passed:26.04 eta:32.76 lr:0.00082 acc:0.625 loss:1.125423
2024-06-10 at 19:14:56 | INFO | e:8,35/70 1 mb/s passed:35.47 eta:33.49 lr:0.00082 acc:0.562 loss:1.027008
2024-06-10 at 19:14:57 | INFO | e:8,40/70 1.1 mb/s passed:36.12 eta:25.55 lr:0.00082 acc:0.250 loss:1.671654
2024-06-10 at 19:14:57 | INFO | e:8,45/70 1.3 mb/s passed:36.77 eta:19.18 lr:0.00082 acc:0.562 loss:1.228969
2024-06-10 at 19:15:07 | INFO | e:8,50/70 1.1 mb/s passed:46.70 eta:17.40 lr:0.00082 acc:0.688 loss:1.204955
2024-06-10 at 19:15:08 | INFO | e:8,55/70 1.2 mb/s passed:47.26 eta:11.81 lr:0.00082 acc:0.375 loss:1.624128
2024-06-10 at 19:15:08 | INFO | e:8,60/70 1.3 mb/s passed:47.82 eta:7.06 lr:0.00082 acc:0.750 loss:0.735856
2024-06-10 at 19:15:15 | INFO | e:8,65/70 1.2 mb/s passed:54.32 eta:3.29 lr:0.00082 acc:0.625 loss:0.949105
2024-06-10 at 19:15:16 | INFO | Epoch: 8, Train Loss: 1.1585150142170952, Accuracy: 0.6075607560756076
2024-06-10 at 19:15:29 | INFO | Epoch: 8, Test Loss: 1.1613203448764349, Accuracy: 0.6186440677966102
2024-06-10 at 19:15:29 | INFO | train: epoch 9
2024-06-10 at 19:15:42 | INFO | e:9,0/70 0.079 mb/s passed:12.60 eta:869.07 lr:0.00091 acc:0.562 loss:1.128778
2024-06-10 at 19:15:42 | INFO | e:9,5/70 0.45 mb/s passed:13.27 eta:141.50 lr:0.00091 acc:0.688 loss:0.974380
2024-06-10 at 19:15:43 | INFO | e:9,10/70 0.79 mb/s passed:13.89 eta:74.50 lr:0.00091 acc:0.562 loss:1.085935
2024-06-10 at 19:15:44 | INFO | e:9,15/70 1.1 mb/s passed:14.50 eta:48.93 lr:0.00091 acc:0.625 loss:1.040019
2024-06-10 at 19:15:54 | INFO | e:9,20/70 0.86 mb/s passed:24.52 eta:57.22 lr:0.00091 acc:0.562 loss:1.363281
2024-06-10 at 19:15:54 | INFO | e:9,25/70 1 mb/s passed:25.19 eta:42.63 lr:0.00091 acc:0.438 loss:1.544326
2024-06-10 at 19:15:55 | INFO | e:9,30/70 1.2 mb/s passed:25.78 eta:32.43 lr:0.00091 acc:0.625 loss:1.154003
2024-06-10 at 19:16:05 | INFO | e:9,35/70 1 mb/s passed:35.57 eta:33.60 lr:0.00091 acc:0.688 loss:1.336251
2024-06-10 at 19:16:05 | INFO | e:9,40/70 1.1 mb/s passed:36.29 eta:25.67 lr:0.00091 acc:0.625 loss:1.143069
2024-06-10 at 19:16:06 | INFO | e:9,45/70 1.2 mb/s passed:36.92 eta:19.26 lr:0.00091 acc:0.750 loss:0.693853
2024-06-10 at 19:16:16 | INFO | e:9,50/70 1.1 mb/s passed:46.80 eta:17.43 lr:0.00091 acc:0.688 loss:0.969897
2024-06-10 at 19:16:16 | INFO | e:9,55/70 1.2 mb/s passed:47.36 eta:11.84 lr:0.00091 acc:0.625 loss:1.295939
2024-06-10 at 19:16:17 | INFO | e:9,60/70 1.3 mb/s passed:47.92 eta:7.07 lr:0.00091 acc:0.688 loss:0.740663
2024-06-10 at 19:16:24 | INFO | e:9,65/70 1.2 mb/s passed:54.81 eta:3.32 lr:0.00091 acc:0.625 loss:1.269102
2024-06-10 at 19:16:24 | INFO | Epoch: 9, Train Loss: 1.0898063086798124, Accuracy: 0.6345634563456346
2024-06-10 at 19:16:38 | INFO | Epoch: 9, Test Loss: 1.1121333797099227, Accuracy: 0.635593220338983
2024-06-10 at 19:16:39 | INFO | train: epoch 10
2024-06-10 at 19:16:51 | INFO | e:10,0/70 0.079 mb/s passed:12.66 eta:873.31 lr:0.00100 acc:0.562 loss:1.320446
2024-06-10 at 19:16:52 | INFO | e:10,5/70 0.45 mb/s passed:13.34 eta:142.24 lr:0.00100 acc:0.562 loss:1.550644
2024-06-10 at 19:16:53 | INFO | e:10,10/70 0.76 mb/s passed:14.48 eta:77.69 lr:0.00100 acc:0.625 loss:1.026090
2024-06-10 at 19:16:54 | INFO | e:10,15/70 1.1 mb/s passed:15.17 eta:51.20 lr:0.00100 acc:0.625 loss:0.922315
2024-06-10 at 19:17:03 | INFO | e:10,20/70 0.85 mb/s passed:24.71 eta:57.65 lr:0.00100 acc:0.625 loss:0.820429
2024-06-10 at 19:17:04 | INFO | e:10,25/70 1 mb/s passed:25.40 eta:42.99 lr:0.00100 acc:0.625 loss:0.887038
2024-06-10 at 19:17:05 | INFO | e:10,30/70 1.2 mb/s passed:26.07 eta:32.80 lr:0.00100 acc:0.500 loss:1.319366
2024-06-10 at 19:17:14 | INFO | e:10,35/70 1 mb/s passed:35.68 eta:33.70 lr:0.00100 acc:0.625 loss:0.910911
2024-06-10 at 19:17:15 | INFO | e:10,40/70 1.1 mb/s passed:36.53 eta:25.84 lr:0.00100 acc:0.688 loss:0.857321
2024-06-10 at 19:17:16 | INFO | e:10,45/70 1.2 mb/s passed:37.19 eta:19.41 lr:0.00100 acc:0.750 loss:0.880121
2024-06-10 at 19:17:25 | INFO | e:10,50/70 1.1 mb/s passed:46.71 eta:17.40 lr:0.00100 acc:0.688 loss:0.798799
2024-06-10 at 19:17:26 | INFO | e:10,55/70 1.2 mb/s passed:47.78 eta:11.94 lr:0.00100 acc:0.750 loss:0.914363
2024-06-10 at 19:17:27 | INFO | e:10,60/70 1.3 mb/s passed:48.33 eta:7.13 lr:0.00100 acc:0.688 loss:0.776995
2024-06-10 at 19:17:35 | INFO | e:10,65/70 1.2 mb/s passed:56.00 eta:3.39 lr:0.00100 acc:0.750 loss:0.803349
